Title	URL	Assignees	Status	Estimated Size	Milestone	Labels	Real Size
Deploy documentation	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/84	nikolas-rauscher	Feature Archive	3		homework, Priority - High	3
User documentation	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/82	iremozs	Feature Archive	3		homework, Priority - High	3
Technical/design documentation	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/83	kristikotini	Feature Archive	2		homework, Priority - High	2
Save graph data	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/25	kristikotini	Feature Archive	8	Graph building and visualization	enhancement, Priority - High	8
Generate graph visualization from database	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/80	kristikotini, Sandeep-kumar-Ramesh	Feature Archive	5	Graph building and visualization	enhancement, Priority - High	5
Connect entities to graph data	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/79	get4flo, nikolas-rauscher	Feature Archive	5		enhancement, Priority - High	5
Connecting components from document to entities	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/55	borges-filipe, yashbhesaniya	Feature Archive	5		enhancement, Priority - High	5
Prepare LLM setup for dev team	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/45	nikolas-rauscher	Feature Archive	2	Interaction with LLM	enhancement, Priority - High	2
LLM function	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/54	yashbhesaniya	Feature Archive	3	Interaction with LLM	enhancement, Priority - High	3
CORS implementation	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/62	nikolas-rauscher	Feature Archive	3	Data source processing	enhancement, Priority - High	3
Generate graph button	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/56	Sandeep-kumar-Ramesh	Feature Archive	5	User Interface	enhancement, Priority - High	8
Create record in database	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/23	iremozs	Feature Archive	5	Data source processing	enhancement, Priority - High	5
HW: Build Process Video	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/60	borges-filipe	Feature Archive	3		homework, Priority - High	3
CI/CD improvements	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/58	borges-filipe	Feature Archive	2		enhancement, Priority - High	2
POC: Combine graph pieces with llm 	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/30	get4flo	Feature Archive	8	Graph building and visualization	POC, Priority - Medium	8
Update software architecture diagram and documentation	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/52	nikolas-rauscher	Feature Archive	1		documentation	1
Set up Mistral locally: documentation	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/19	yashbhesaniya	Feature Archive	3		documentation	2
POC: Prompt template for LLM	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/26	nikolas-rauscher	Feature Archive	3	Interaction with LLM	POC, Priority - High	5
Syntax checking for JSON and converting to Graph format	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/24	borges-filipe	Feature Archive	5	Graph building and visualization	POC, Priority - High	5
POC: Graph visualization	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/18	Sandeep-kumar-Ramesh	Feature Archive	5	Graph building and visualization	POC, Priority - Medium	5
Allow user to upload PDF document(s)	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/20	iremozs, Sandeep-kumar-Ramesh	Feature Archive	5	Data source processing	enhancement, Priority - High	5
Interface setup	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/44	Sandeep-kumar-Ramesh	Feature Archive	3		enhancement, Priority - High	3
Text to .json chunks	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/17	get4flo	Feature Archive	5	Data source processing	enhancement, Priority - High	3
PDF parsing into text	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/4	borges-filipe	Feature Archive	3	Data source processing	enhancement, Priority - High	3
Set up initial project environment (backend excluding LLM container)	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/16	kristikotini, Sandeep-kumar-Ramesh, yashbhesaniya	Feature Archive	8		enhancement, Priority - High	8
[HW] Create software architecture overview	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/7	kristikotini, nikolas-rauscher, yashbhesaniya	Feature Archive	5		homework	5
Design user interface	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/14	Sandeep-kumar-Ramesh	Feature Archive	8	User Interface	enhancement, Priority - High	8
Refine .json extraction from LLM results	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/117	borges-filipe	Awaiting Review	3	Interaction with LLM	enhancement, Priority - Medium	
Refine graph connections	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/118	get4flo	Awaiting Review	3	Graph building and visualization	enhancement, Priority - Medium	
Ordering size of nodes for graph visualization	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/97	iremozs	Awaiting Review	3	Graph building and visualization	enhancement, Priority - Medium	
Remove JanusGraph	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/120	nikolas-rauscher	Awaiting Review	1		Priority - Low, refactoring	
Linting/Formatting	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/88	nikolas-rauscher	Awaiting Review	3		enhancement, Priority - Low	
Create landing page	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/94	Sandeep-kumar-Ramesh	Awaiting Review	3	User Interface	enhancement, Priority - High	
View list/table of existing knowledge graphs	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/95	Sandeep-kumar-Ramesh	Awaiting Review	5	User Interface	enhancement, Priority - Medium	
Create new knowledge graph button (link to current user flow)	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/96	yashbhesaniya	Awaiting Review	2	User Interface	enhancement, Priority - Medium	
Delete uploaded document from upload screen	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/29	kristikotini	Awaiting Review	3	Data source processing	enhancement, Priority - Low	
Update upload page to design theme	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/98		Feature Archive		User Interface	invalid	
Link entities to page	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/135		Product Backlog		Graph building and visualization	enhancement, Priority - Medium	
POC: Query knowledge graph (to help with evaluating it)	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/137		Product Backlog		Graph querying	enhancement, Priority - Medium	
Experiment with different evaluation approaches	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/139		Product Backlog		Interaction with LLM	enhancement, Priority - Medium	
After LLM results, eliminate duplicates	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/102		Product Backlog		Interaction with LLM	enhancement, Priority - Medium	
Visualize different size nodes	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/136		Product Backlog		User Interface	enhancement, Priority - Medium	
Allow user to delete knowledge graph	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/109		Product Backlog		User Interface	enhancement, Priority - Medium	
Update user interface pages to design theme	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/99		Product Backlog		User Interface	enhancement, Priority - Low	
Graph display consistency	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/101		Product Backlog		Graph building and visualization	enhancement, Priority - Low	
Find dataset for Natural Language to Knowledge Graphs (if it exists)	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/49		Product Backlog		Interaction with LLM	POC, Priority - Low	
POC: extract categories from entities	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/119		Product Backlog		Graph building and visualization	enhancement, Priority - Low	
Follow up on POC (grouping of nodes) depending on outcome	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/103		Product Backlog		Graph building and visualization	enhancement	
Fine-tuning of prompt template and ontology	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/39		Product Backlog	5	Interaction with LLM	enhancement	
Draggable nodes	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/104		Product Backlog		User Interface	enhancement	
Graph "zoom" - already can do I think?	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/105		Product Backlog		User Interface	enhancement	
POC:Use categories to connect sub-graphs with LLM	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/106		Product Backlog		Interaction with LLM	enhancement	
View details of a specific knowledge graph - redesign how to view details	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/100		Product Backlog		User Interface	enhancement, Priority - Low	
Graph search in database - return table results	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/107		Product Backlog		Graph querying	enhancement	
Graph "search" bar from UI	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/108		Product Backlog		User Interface	enhancement	
Follow up on POC from Sprint 9	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/110		Product Backlog			enhancement	
Graph search in database - return text results	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/121		Product Backlog		Graph querying	enhancement	
Demo day slide	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/123		Product Backlog			homework	
Demo day video	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/124		Product Backlog			homework	
Clean up codebase	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/122		Product Backlog			Priority - Low, refactoring	
Finalize user, (technical) design, and build/deploy documentation	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/111		Product Backlog			documentation	
End-to-end testing of application and features	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/125		Product Backlog				
Finalize demo day workflow	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/112		Product Backlog				
Finalize project report	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/113		Product Backlog			homework	
Syntax checking for JSON and converting to Graph format	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/pull/63	borges-filipe	Feature Archive				
